,0,1,2,3,4,5
0,1,0,0.5308150053024292,0.3789634704589844,-0.5752124190330505,1.0
1,1,1,0.5369611978530884,0.3546353578567505,-0.5365048050880432,1.0
2,1,2,0.543409526348114,0.35356324911117554,-0.5365103483200073,0.9984306693077087
3,1,3,0.5499386787414551,0.3524324297904968,-0.5366339087486267,1.0
4,1,4,0.5189061760902405,0.35924071073532104,-0.5388771891593933,1.0
5,1,5,0.5121815800666809,0.36120060086250305,-0.5388050675392151,0.998941957950592
6,1,6,0.5053987503051758,0.3634260296821594,-0.5389312505722046,1.0
7,1,7,0.5579363703727722,0.37251752614974976,-0.355912446975708,0.9995887875556946
8,1,8,0.49735555052757263,0.3859468102455139,-0.3594041168689728,0.9994256496429443
9,1,9,0.5450378656387329,0.40893808007240295,-0.508606493473053,0.999129593372345
10,1,10,0.5193433165550232,0.414630264043808,-0.5093889832496643,0.998871386051178
11,1,11,0.6092738509178162,0.5462757349014282,-0.2919367253780365,0.9995136260986328
12,1,12,0.45526066422462463,0.5787570476531982,-0.3086306154727936,0.9976344108581543
13,1,13,0.6564888954162598,0.7544423341751099,-0.3257467746734619,0.9302009344100952
14,1,14,0.42253756523132324,0.8030363917350769,-0.35238125920295715,0.9339993000030518
15,1,15,0.6915520429611206,0.9436695575714111,-0.49572354555130005,0.46076053380966187
16,1,16,0.4109538495540619,1.0000306367874146,-0.48467978835105896,0.3635690212249756
17,1,17,0.7074255347251892,0.9913578629493713,-0.5632003545761108,0.27880650758743286
18,1,18,0.40135765075683594,1.0493228435516357,-0.548079252243042,0.19734972715377808
19,1,19,0.6957616806030273,0.9995008707046509,-0.6032174825668335,0.3225219249725342
20,1,20,0.4131796956062317,1.0552351474761963,-0.5912808775901794,0.22892668843269348
21,1,21,0.6854914426803589,0.9861475825309753,-0.5204346776008606,0.3382520079612732
22,1,22,0.42326459288597107,1.0376629829406738,-0.5103855133056641,0.2371274083852768
23,1,23,0.5788869857788086,0.9506438970565796,-0.00022311159409582615,0.9828464388847351
24,1,24,0.4901203513145447,0.9684440493583679,0.0013367758365347981,0.9654509425163269
25,1,25,0.58957839012146,1.122277021408081,0.008737063966691494,0.010840576142072678
26,1,26,0.49128836393356323,1.1590371131896973,0.0635698139667511,0.0019313737284392118
27,1,27,0.5877555012702942,1.3212512731552124,0.4606943726539612,0.00027751323068514466
28,1,28,0.4954310357570648,1.3342466354370117,0.5968320965766907,2.9062315661576577e-05
29,1,29,0.5920618176460266,1.351916790008545,0.4983240067958832,0.0007504348177462816
30,1,30,0.49533095955848694,1.3622193336486816,0.6405466198921204,0.00010255732195219025
31,1,31,0.5738495588302612,1.3904709815979004,0.34986773133277893,0.00027622742345556617
